Molecule name: OH
Physical parameters at a given cloud nb: 86
velocity gradient   -2.6078e-11 cm/s/cm
cloud height        1.0824e+17 cm
turb velocity       5.0000e+04 cm/s
gas temperature     2.6066e+02 K
h concentration     1.2819e+02 cm-3
h2 concentration    3.6226e+04 cm-3
molecule concentr   5.2933e-02 cm-3
nb of mol levels    24

Dust:
name            2_comp_model
dust mass per H 2.2583e-26
temperature (K) 1.2460e+01      

External radiation field:
No

The number of transitions	2
v, j, k1, k2, sym inv (upper) -> v, j, k1, k2, sym inv (lower)

0    1.5  1.5  0    1     -> 0    1.5  1.5  0    -1   1.7213184e+09  

mean inv       1.699e-03
mean gain      1.849e-17 cm-1
optical depth  2.719e+00
mean lum       0.000e+00 ph/cm3/s
At fixed layer:
exc temp       1.935e+01 K
loss rate      0.000e+00 s-1
satur tau      0.000e+00

relative depth   inversion    gain         luminosity   
6.442e-01        -3.338e-04   -1.243e-16   0.000e+00    
6.496e-01        -3.268e-04   -1.235e-16   0.000e+00    
6.543e-01        -3.189e-04   -1.222e-16   0.000e+00    
6.588e-01        -3.129e-04   -1.211e-16   0.000e+00    
6.647e-01        -3.075e-04   -1.204e-16   0.000e+00    
6.700e-01        -3.002e-04   -1.191e-16   0.000e+00    
6.742e-01        -2.956e-04   -1.183e-16   0.000e+00    
6.785e-01        -2.924e-04   -1.179e-16   0.000e+00    
6.830e-01        -2.891e-04   -1.175e-16   0.000e+00    
6.875e-01        -2.854e-04   -1.169e-16   0.000e+00    
6.923e-01        -2.816e-04   -1.161e-16   0.000e+00    
6.972e-01        -2.790e-04   -1.159e-16   0.000e+00    
7.024e-01        -2.762e-04   -1.156e-16   0.000e+00    
7.079e-01        -2.732e-04   -1.150e-16   0.000e+00    
7.137e-01        -2.698e-04   -1.144e-16   0.000e+00    
7.201e-01        -2.678e-04   -1.142e-16   0.000e+00    
7.266e-01        -2.651e-04   -1.139e-16   0.000e+00    
7.326e-01        -2.630e-04   -1.136e-16   0.000e+00    
7.387e-01        -2.615e-04   -1.136e-16   0.000e+00    
7.450e-01        -2.602e-04   -1.136e-16   0.000e+00    
7.516e-01        -2.587e-04   -1.134e-16   0.000e+00    
7.583e-01        -2.578e-04   -1.135e-16   0.000e+00    
7.654e-01        -2.569e-04   -1.136e-16   0.000e+00    
7.722e-01        -2.558e-04   -1.136e-16   0.000e+00    
7.794e-01        -2.555e-04   -1.138e-16   0.000e+00    
7.879e-01        -2.550e-04   -1.140e-16   0.000e+00    
7.967e-01        -2.544e-04   -1.142e-16   0.000e+00    
8.056e-01        -2.543e-04   -1.145e-16   0.000e+00    
8.146e-01        -2.542e-04   -1.149e-16   0.000e+00    
8.238e-01        -2.541e-04   -1.152e-16   0.000e+00    
8.338e-01        -2.544e-04   -1.157e-16   0.000e+00    
8.442e-01        -2.547e-04   -1.163e-16   0.000e+00    
8.531e-01        -2.551e-04   -1.168e-16   0.000e+00    
8.609e-01        -2.555e-04   -1.172e-16   0.000e+00    
8.701e-01        -2.560e-04   -1.178e-16   0.000e+00    
8.807e-01        -2.565e-04   -1.184e-16   0.000e+00    
8.933e-01        -2.571e-04   -1.191e-16   0.000e+00    
9.082e-01        -2.579e-04   -1.200e-16   0.000e+00    
9.259e-01        -2.589e-04   -1.211e-16   0.000e+00    
9.460e-01        -2.601e-04   -1.225e-16   0.000e+00    
9.685e-01        -2.614e-04   -1.240e-16   0.000e+00    
1.006e+00        -2.628e-04   -1.259e-16   0.000e+00    

