Molecule name: ch3oh_a
Physical parameters at a given cloud nb: 86
velocity gradient   -2.6078e-11 cm/s/cm
cloud height        1.0824e+17 cm
turb velocity       5.0000e+04 cm/s
gas temperature     2.6066e+02 K
h concentration     1.2819e+02 cm-3
h2 concentration    3.6226e+04 cm-3
molecule concentr   3.7502e-02 cm-3
nb of mol levels    768

Dust:
name            2_comp_model
dust mass per H 2.2583e-26
temperature (K) 1.2460e+01      

External radiation field:
No

The number of transitions	16
v, j, k1, k2, sym inv (upper) -> v, j, k1, k2, sym inv (lower)

0    1    -1   0    0     -> 0    1    1    0    0    8.3428554e+08  

mean inv       4.900e-04
mean gain      1.371e-18 cm-1
optical depth  1.484e-01
mean lum       0.000e+00 ph/cm3/s
At fixed layer:
exc temp       -1.261e-01 K
loss rate      0.000e+00 s-1
satur tau      0.000e+00

relative depth   inversion    gain         luminosity   
1.970e-01        1.223e-05    7.812e-24    0.000e+00    
2.014e-01        1.314e-05    8.416e-24    0.000e+00    
2.061e-01        1.438e-05    9.216e-24    0.000e+00    
2.106e-01        1.631e-05    1.043e-23    0.000e+00    
2.146e-01        1.799e-05    1.144e-23    0.000e+00    
2.185e-01        2.017e-05    1.273e-23    0.000e+00    
2.224e-01        2.242e-05    1.406e-23    0.000e+00    
2.264e-01        2.451e-05    1.543e-23    0.000e+00    
2.303e-01        2.675e-05    1.742e-23    0.000e+00    
2.326e-01        2.864e-05    2.018e-23    0.000e+00    
2.341e-01        2.904e-05    2.109e-23    0.000e+00    
2.372e-01        3.021e-05    2.408e-23    0.000e+00    
2.412e-01        3.240e-05    3.404e-23    0.000e+00    
2.451e-01        3.454e-05    6.375e-23    0.000e+00    
2.490e-01        3.695e-05    1.722e-22    0.000e+00    
2.531e-01        4.028e-05    4.827e-22    0.000e+00    
2.573e-01        4.557e-05    1.321e-21    0.000e+00    
2.615e-01        5.281e-05    3.050e-21    0.000e+00    
2.661e-01        6.282e-05    6.496e-21    0.000e+00    
2.712e-01        7.704e-05    1.356e-20    0.000e+00    
2.766e-01        9.544e-05    2.669e-20    0.000e+00    
2.817e-01        1.176e-04    4.823e-20    0.000e+00    
2.862e-01        1.395e-04    7.517e-20    0.000e+00    
2.906e-01        1.597e-04    1.051e-19    0.000e+00    
2.955e-01        1.828e-04    1.449e-19    0.000e+00    
3.003e-01        2.100e-04    1.990e-19    0.000e+00    
3.044e-01        2.324e-04    2.476e-19    0.000e+00    
